evento,fecha_inicio,fecha_fin
ICE,2025-01-19,2025-01-22
ISE,2025-02-04,2025-02-07
Maraton BCN,2025-02-16,2025-02-16
MWC,2025-03-02,2025-03-06
Maraton BCN,2025-03-16,2025-03-16
EWNA,2025-03-25,2025-03-28
Sem. Santa,2025-04-17,2025-04-21
Bridal Week,2025-04-22,2025-04-25
IVIRMA,2025-04-24,2025-04-26
SEAFOOD,2025-05-05,2025-05-08
IOT,2025-05-12,2025-05-15
VITAFOODS,2025-05-19,2025-05-23
CONSTRUMAT,2025-05-20,2025-05-22
F1,2025-05-30,2025-06-01
Primavera Sound,2025-06-05,2025-06-08
EULAR,2025-06-10,2025-06-15
IADR,2025-06-25,2025-06-28
WCLC,2025-09-05,2025-09-09
Moto GP,2025-09-05,2025-09-07
LABELEXPO,2025-09-15,2025-09-19
BIOSPAIN,2025-09-15,2025-09-18
ECTRIMS,2025-09-22,2025-09-27
IAAPA,2025-09-22,2025-09-25
SMARTCITY,2025-11-03,2025-11-06
VMware,2025-11-04,2025-11-06
GARTNER,2025-11-09,2025-11-13
IBTM,2025-11-17,2025-11-23
HP,2025-11-17,2025-11-23
MIFAS,2025-11-17,2025-11-23
Work Day Rise,2025-11-17,2025-11-21
Sal. piscina,2025-11-17,2025-11-21
